Source,Caption
./dataset/81ab3d22-0ae8-4c76-8f91-55757ec4678a.pdf,step-wise select prompt to select next step.
./dataset/90a408aa-dbbf-4ade-a9c9-32abbf57f7e8.pdf,Generated Persona
./dataset/0e6e79e6-6fd4-4911-bc45-dcb272e80beb.pdf,Failure analysis across the four methods on the Advanced task set. The x-axis represents the task IDs that are sorted in ascending order based on the length of the task's action steps. And the y-axis presents two metrics for each task: (1) the count of failures observed over three repetitions (left y-axis); (2) the length of the ground truth action steps (right y-axis).
./dataset/bedcf7d3-a91c-4c3b-b266-9c4a24efa24c.png,TTS case of Scoring Bias.
./dataset/de788cb6-6929-4152-8795-84208728ec9c.jpg,3D trajectory plot plot
./dataset/05c5deb7-4d90-449a-bdfe-8ddae0b273b6.png,"Examples of misinformation generated by LLMs. The latest LLMs, GPT-4, mistakenly provides an irrelevant website link when citing a paper."
./dataset/e709d770-8749-42bf-a5c0-25b7a8586b14.png,Impact of LLM's intuition-based and KG embedding-based rewards.
./dataset/bf1cc378-76ce-4ef4-9d9e-89e8235bfcfa.png,"Our boundary-aware three-stage training framework. In the first stage, visual features are aligned with LLM's semantic space through image-text training. In the second stage, we transform a large-scale multi-event dataset into a QA format based on templates, training VTimeLLM to possess temporal boundary awareness and understand events within the boundaries. In the third stage, we create a high-quality dialogue dataset for instruction tuning, which aligns VTimeLLM with human intent and also enables more precise video temporal understanding."
./dataset/73b3749f-15c4-495a-855c-0cec56bc0f6f.jpg,Safety alignment on Vicuna
./dataset/4776ebd2-ec49-4b8f-b578-50a75046432e.jpg,SWE-bench-NF
./dataset/116a259c-88af-489d-a797-f6f11ad44fec.pdf,"Ratio of three different types of mappings during iterated learning (curves are the average of 15 different runs, shadow region is the variance)."
./dataset/dcec127a-cd1a-4799-9eec-363af9dfd90c.pdf,"footnotesize The process of building the discriminator RelD, which is trained on the constructed dataset RelQA and used to detect hallucination of LLMs' generated answers."
./dataset/9fe6f42c-3aa6-40de-9501-14eb83231fd6.pdf,Result on Iterative Denoising
./dataset/dede1fa3-4ea6-4c35-b97a-782f70a9a633.pdf,Approximations for the inverse square-root with various iteration counts.
./dataset/f411fd52-ac0f-4380-b271-6bbda90f50ba.pdf,LLMs cooperate with compression module for input compression.
./dataset/11528ea8-54a0-4a2b-b8e3-bc1fe73c18a8.pdf,The proposed Mamba layer for lane-aware probability learning.
./dataset/0cd6b5c1-d673-4bc9-a4db-07bf2457a74b.pdf,The proportion of answers judged correctly by LLMs in different question categories under two QA prompting settings on NQ.
./dataset/5f04cb02-8686-481a-8180-c65b446a5770.pdf,Example of Unclear Implementation Details
./dataset/01d77f3d-1374-431c-a45a-2cd65b7921a6.pdf,An illustration of a weakness of logistic regression.
./dataset/a5bfedab-3e24-4445-a796-a28d3db9cd12.pdf,Model performance with respect to different prompt templates.
./dataset/498cf0bf-e7fd-430f-ab06-3194d52616e7.pdf,Non-relevant error observed in MALT for Llama-3.2-3b: the word 'elasticity' is mistakenly interpreted as 'lachha paratha' due to their similar structure in Urdu. Lachha paratha is a type of bread heavily eaten by speakers of the input low resource language (Urdu).
./dataset/371d011d-10c7-436e-838b-cc607fbeb0b2.pdf,lan-retrieve prompt to generate initial plan.
./dataset/71000135-2549-41c6-8dd6-22597015a71f.png,RMSE
./dataset/bde3ee4e-65b9-4a25-ba79-28acad9df372.png,Influence of the number of retrieved actions on the performance of GPT-3.5 and Vicuna conducting Task-Retrieve method.
./dataset/3dbd8781-4375-497c-b6c0-8264f47296e8.png,The performance of different tool-invoking methods.
./dataset/5175a8b7-0f09-4f89-a054-c4511e698e44.pdf,Distribution of videos over temporal aspects and static content categories.
./dataset/7e6c3076-c55b-4914-82f3-72e48026945e.pdf,Demonstration of conducting iterated ICL on the ACRE task.
./dataset/6ffd6a2d-5170-4413-90d8-52d40dd5cbb8.pdf,1000:ML
./dataset/329427ff-97e4-4bc3-9822-d508aca349c3.pdf,Kurtosis vs Temp
